,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
423,PSP Handscomb,50.0,0,0,0.0,6.0,6,12,PSP Handscomb,1.0,6.0
424,PV Tambe,46.15,0,0,2.56,14.0,18,39,PV Tambe,2.0,9.0
425,PVD Chameera,134.38,0,0,18.75,10.0,43,32,PVD Chameera,4.0,10.75
426,PWH de Silva,90.0,0,0,10.0,32.0,72,80,PWH de Silva,10.0,7.2
427,Pankaj Singh,58.33,0,0,0.0,6.0,7,12,Pankaj Singh,2.0,3.5
428,Parvez Rasool,85.0,0,0,5.0,12.0,17,20,Parvez Rasool,2.0,8.5
429,Q de Kock,131.32,20,2,18.1,934.0,2910,2216,Q de Kock,91.0,31.98
430,R Ashwin,114.79,1,0,12.86,304.0,714,622,R Ashwin,54.0,13.22
431,R Bhatia,117.93,0,0,12.76,143.0,342,290,R Bhatia,30.0,11.4
432,R Bishnoi,111.76,0,0,17.65,3.0,19,17,R Bishnoi,3.0,6.33
433,R Dhawan,111.7,0,0,13.3,78.0,210,188,R Dhawan,11.0,19.09
434,R Dravid,113.35,11,0,15.48,802.0,2174,1918,R Dravid,77.0,28.23
435,R McLaren,89.33,1,0,8.43,87.0,159,178,R McLaren,8.0,19.88
436,R Ninan,50.0,0,0,0.0,3.0,3,6,R Ninan,1.0,3.0
437,R Parag,119.52,2,0,14.14,232.0,600,502,R Parag,37.0,16.22
438,R Powell,140.44,1,0,18.03,72.0,257,183,R Powell,13.0,19.77
439,R Rampaul,98.08,0,0,9.62,21.0,51,52,R Rampaul,5.0,10.2
440,R Sanjay Yadav,0.0,0,0,0.0,0.0,0,2,R Sanjay Yadav,1.0,0.0
441,R Sathish,114.41,0,0,11.86,116.0,270,236,R Sathish,17.0,15.88
442,R Sharma,85.71,0,0,10.39,21.0,66,77,R Sharma,14.0,4.71
443,R Shepherd,131.82,0,0,15.91,15.0,58,44,R Shepherd,3.0,19.33
444,R Shukla,82.61,0,0,8.7,11.0,19,23,R Shukla,1.0,19.0
445,R Tewatia,127.12,1,0,15.72,293.0,825,649,R Tewatia,33.0,25.0
446,R Vinay Kumar,107.27,0,0,10.38,141.0,310,289,R Vinay Kumar,28.0,11.07
447,RA Bawa,78.57,0,0,7.14,6.0,11,14,RA Bawa,2.0,5.5
448,RA Jadeja,123.09,2,0,13.35,1122.0,2692,2187,RA Jadeja,102.0,26.39
449,RA Tripathi,135.45,11,0,18.51,671.0,2071,1529,RA Tripathi,77.0,26.9
450,RD Chahar,96.43,0,0,12.5,36.0,108,112,RD Chahar,15.0,7.2
451,RD Gaikwad,132.52,14,1,17.11,626.0,1797,1356,RD Gaikwad,46.0,39.07
452,RE Levi,112.16,1,0,18.92,19.0,83,74,RE Levi,6.0,13.83
453,RE van der Merwe,110.42,0,0,13.19,59.0,159,144,RE van der Merwe,11.0,14.45
454,RG More,100.0,0,0,0.0,2.0,2,2,,0.0,2.0
455,RG Sharma,127.06,42,1,16.61,2178.0,6213,4890,RG Sharma,210.0,29.59
456,RJ Harris,104.46,0,0,8.04,57.0,117,112,RJ Harris,12.0,9.75
457,RJ Peterson,100.0,0,0,12.5,13.0,32,32,RJ Peterson,3.0,10.67
458,RJ Quiney,98.1,1,0,14.29,33.0,103,105,RJ Quiney,7.0,14.71
459,RK Bhui,38.89,0,0,0.0,5.0,7,18,RK Bhui,2.0,3.5
460,RK Singh,135.01,4,0,17.13,248.0,725,537,RK Singh,20.0,36.25
461,RM Patidar,136.03,2,1,17.17,139.0,404,297,RM Patidar,10.0,40.4
462,RN ten Doeschate,136.97,1,0,17.23,117.0,326,238,RN ten Doeschate,14.0,23.29
463,RP Meredith,0.0,0,0,0.0,0.0,0,3,,0.0,0.0
464,RP Singh,66.67,0,0,3.85,34.0,52,78,RP Singh,15.0,3.47
465,RR Bhatkal,0.0,0,0,0.0,0.0,0,2,RR Bhatkal,1.0,0.0
466,RR Pant,142.55,15,1,19.55,896.0,2851,2000,RR Pant,82.0,34.77
467,RR Powar,104.69,0,0,10.94,30.0,67,64,RR Powar,3.0,22.33
468,RR Raje,111.11,0,0,11.11,10.0,20,18,RR Raje,1.0,20.0
469,RR Rossouw,131.66,1,0,17.09,82.0,262,199,RR Rossouw,12.0,21.83
470,RR Sarwan,93.59,0,0,8.97,37.0,73,78,RR Sarwan,4.0,18.25
471,RS Bopara,113.46,3,0,11.75,238.0,531,468,RS Bopara,18.0,29.5
472,RS Gavaskar,25.0,0,0,0.0,2.0,2,8,RS Gavaskar,1.0,2.0
473,RS Sodhi,200.0,0,0,50.0,0.0,4,2,,0.0,4.0
474,RT Ponting,70.54,0,0,5.43,53.0,91,129,RT Ponting,9.0,10.11
475,RV Gomez,94.34,0,0,11.32,20.0,50,53,RV Gomez,5.0,10.0
476,RV Patel,105.26,0,0,10.53,39.0,80,76,RV Patel,5.0,16.0
477,RV Uthappa,126.15,27,0,16.88,1666.0,4954,3927,RV Uthappa,180.0,27.52
478,Rahmanullah Gurbaz,127.53,2,0,17.98,57.0,227,178,Rahmanullah Gurbaz,11.0,20.64
479,Ramandeep Singh,107.14,0,0,9.52,21.0,45,42,Ramandeep Singh,2.0,22.5
480,Rashid Khan,158.21,1,0,22.5,97.0,443,280,Rashid Khan,32.0,13.84
481,Rasikh Salam,120.0,0,0,10.0,4.0,12,10,Rasikh Salam,1.0,12.0
482,Ravi Bishnoi,60.87,0,0,4.35,16.0,28,46,Ravi Bishnoi,5.0,5.6
483,S Anirudha,112.4,1,0,13.22,51.0,136,121,S Anirudha,8.0,17.0
484,S Aravind,100.0,0,0,11.86,26.0,59,59,S Aravind,4.0,14.75
485,S Badree,52.0,0,0,0.0,11.0,13,25,S Badree,5.0,2.6
486,S Badrinath,115.74,11,0,14.62,570.0,1441,1245,S Badrinath,47.0,30.66
487,S Chanderpaul,75.76,0,0,12.12,9.0,25,33,S Chanderpaul,3.0,8.33
488,S Dhawan,123.5,50,2,16.78,2377.0,6617,5358,S Dhawan,188.0,35.2
489,S Dube,135.21,6,0,16.01,383.0,1106,818,S Dube,39.0,28.36
490,S Gopal,104.05,0,0,12.14,81.0,180,173,S Gopal,14.0,12.86
491,S Kaul,55.56,0,0,2.78,12.0,20,36,S Kaul,4.0,5.0
492,S Kaushik,0.0,0,0,0.0,0.0,0,1,S Kaushik,1.0,0.0
493,S Ladda,0.0,0,0,0.0,0.0,0,10,S Ladda,1.0,0.0
494,S Lamichhane,0.0,0,0,0.0,0.0,0,1,S Lamichhane,1.0,0.0
495,S Nadeem,44.32,0,0,2.27,28.0,39,88,S Nadeem,14.0,2.79
496,S Narwal,127.59,0,0,20.69,11.0,37,29,S Narwal,3.0,12.33
497,S Rana,110.98,0,0,12.2,39.0,91,82,S Rana,4.0,22.75
498,S Randiv,50.0,0,0,0.0,1.0,2,4,S Randiv,1.0,2.0
499,S Sohal,118.33,2,0,16.72,101.0,368,311,S Sohal,20.0,18.4
500,S Sreesanth,59.65,0,0,10.53,8.0,34,57,S Sreesanth,4.0,8.5
501,S Sriram,81.58,0,0,7.89,17.0,31,38,S Sriram,2.0,15.5
502,S Tyagi,75.0,0,0,0.0,3.0,3,4,S Tyagi,1.0,3.0
503,S Vidyut,126.09,1,0,20.87,36.0,145,115,S Vidyut,8.0,18.12
504,SA Abbott,122.22,0,0,16.67,5.0,22,18,SA Abbott,3.0,7.33
505,SA Asnodkar,120.17,2,0,18.75,122.0,423,352,SA Asnodkar,20.0,21.15
506,SA Yadav,140.47,21,1,19.93,1032.0,3249,2313,SA Yadav,103.0,31.54
507,SB Bangar,84.48,0,0,6.9,26.0,49,58,SB Bangar,7.0,7.0
508,SB Jakati,93.33,0,0,10.0,15.0,28,30,SB Jakati,1.0,28.0
509,SB Joshi,37.5,0,0,0.0,6.0,6,16,SB Joshi,2.0,3.0
510,SB Styris,97.76,0,0,9.7,68.0,131,134,SB Styris,7.0,18.71
511,SB Wagh,66.67,0,0,0.0,1.0,2,3,SB Wagh,2.0,1.0
512,SC Ganguly,101.73,7,0,13.5,485.0,1349,1326,SC Ganguly,53.0,25.45
513,SD Chitnis,107.61,0,0,13.04,42.0,99,92,SD Chitnis,7.0,14.14
514,SD Lad,115.38,0,0,15.38,3.0,15,13,SD Lad,1.0,15.0
515,SE Bond,50.0,0,0,0.0,1.0,1,2,SE Bond,1.0,1.0
516,SE Marsh,130.11,20,1,18.14,830.0,2489,1913,SE Marsh,63.0,39.51
517,SE Rutherford,99.07,0,0,10.28,42.0,106,107,SE Rutherford,7.0,15.14
518,SJ Srivastava,100.0,0,0,0.0,4.0,5,5,SJ Srivastava,1.0,5.0
519,SK Raina,132.54,39,1,17.0,1991.0,5536,4177,SK Raina,171.0,32.37
520,SK Trivedi,68.85,0,0,6.56,20.0,42,61,SK Trivedi,7.0,6.0
521,SK Warne,90.41,0,0,9.13,94.0,198,219,SK Warne,20.0,9.9
522,SL Malinga,85.44,0,0,10.68,33.0,88,103,SL Malinga,16.0,5.5
523,SM Curran,138.37,3,0,18.28,192.0,613,443,SM Curran,25.0,24.52
524,SM Harwood,64.29,0,0,0.0,7.0,9,14,,0.0,9.0
525,SM Katich,126.18,2,0,17.8,72.0,241,191,SM Katich,10.0,24.1
526,SM Pollock,126.72,0,0,17.24,49.0,147,116,SM Pollock,8.0,18.38
527,SMSM Senanayake,58.82,0,0,0.0,9.0,10,17,SMSM Senanayake,1.0,10.0
528,SN Khan,128.29,1,0,16.89,218.0,585,456,SN Khan,26.0,22.5
529,SN Thakur,136.19,1,0,17.62,97.0,286,210,SN Thakur,24.0,11.92
530,SO Hetmyer,144.5,4,0,18.16,349.0,1130,782,SO Hetmyer,35.0,32.29
531,SP Fleming,114.62,0,0,17.54,55.0,196,171,SP Fleming,9.0,21.78
532,SP Goswami,95.44,1,0,11.4,128.0,293,307,SP Goswami,20.0,14.65
533,SP Jackson,107.02,0,0,10.53,31.0,61,57,SP Jackson,6.0,10.17
534,SP Narine,151.16,4,0,25.72,175.0,1046,692,SP Narine,76.0,13.76
535,SPD Smith,124.81,11,1,14.31,1053.0,2495,1999,SPD Smith,72.0,34.65
536,SR Tendulkar,114.19,13,1,15.9,845.0,2334,2044,SR Tendulkar,69.0,33.83
537,SR Watson,134.16,21,4,19.61,1077.0,3880,2892,SR Watson,126.0,30.79
538,SS Cottrell,0.0,0,0,0.0,0.0,0,2,SS Cottrell,1.0,0.0
539,SS Iyer,121.13,19,0,14.68,1085.0,2780,2295,SS Iyer,89.0,31.24
540,SS Prabhudessai,108.51,0,0,12.77,35.0,102,94,SS Prabhudessai,9.0,11.33
541,SS Shaikh,85.71,0,0,14.29,2.0,6,7,SS Shaikh,1.0,6.0
542,SS Tiwary,115.72,8,0,12.47,651.0,1494,1291,SS Tiwary,52.0,28.73
543,ST Jayasuriya,134.03,4,1,21.47,158.0,768,573,ST Jayasuriya,28.0,27.43
544,STR Binny,125.71,0,0,14.43,331.0,880,700,STR Binny,46.0,19.13
545,SV Samson,133.93,20,3,16.74,1353.0,3888,2903,SV Samson,133.0,29.23
546,SW Billings,126.07,3,0,15.04,187.0,503,399,SW Billings,26.0,19.35
547,SW Tait,88.46,0,0,7.69,13.0,23,26,SW Tait,3.0,7.67
548,Sachin Baby,117.07,0,0,13.01,57.0,144,123,Sachin Baby,9.0,16.0
549,Salman Butt,112.21,1,0,18.6,54.0,193,172,Salman Butt,7.0,27.57
550,Sandeep Sharma,73.97,0,0,5.48,36.0,54,73,Sandeep Sharma,6.0,9.0
551,Sanvir Singh,122.22,0,0,22.22,1.0,11,9,Sanvir Singh,1.0,11.0
552,Shahbaz Ahmed,109.18,0,0,11.22,138.0,321,294,Shahbaz Ahmed,19.0,16.89
553,Shahid Afridi,176.09,0,0,28.26,13.0,81,46,Shahid Afridi,8.0,10.12
554,Shakib Al Hasan,119.55,2,0,14.14,332.0,795,665,Shakib Al Hasan,41.0,19.39
555,Shashank Singh,146.81,0,0,19.15,20.0,69,47,Shashank Singh,4.0,17.25
556,Shivam Mavi,87.93,0,0,10.34,20.0,51,58,Shivam Mavi,9.0,5.67
557,Shivam Sharma,166.67,0,0,33.33,1.0,5,3,Shivam Sharma,1.0,5.0
558,Shoaib Ahmed,16.67,0,0,0.0,1.0,1,6,Shoaib Ahmed,2.0,0.5
559,Shoaib Akhtar,25.0,0,0,0.0,2.0,2,8,Shoaib Akhtar,1.0,2.0
560,Shoaib Malik,106.12,0,0,10.2,28.0,52,49,Shoaib Malik,4.0,13.0
561,Shubman Gill,130.56,18,3,16.52,1052.0,2790,2137,Shubman Gill,74.0,37.7
562,Sikandar Raza,133.65,1,0,15.38,46.0,139,104,Sikandar Raza,5.0,27.8
563,Simarjeet Singh,87.5,0,0,0.0,5.0,7,8,Simarjeet Singh,1.0,7.0
564,Sohail Tanvir,116.13,0,0,12.9,16.0,36,31,Sohail Tanvir,3.0,12.0
565,Sunny Gupta,0.0,0,0,0.0,0.0,0,1,Sunny Gupta,1.0,0.0
566,Sunny Singh,138.71,0,0,22.58,12.0,43,31,Sunny Singh,4.0,10.75
567,Swapnil Singh,58.33,0,0,0.0,12.0,14,24,Swapnil Singh,3.0,4.67
568,T Banton,81.82,0,0,9.09,7.0,18,22,T Banton,2.0,9.0
569,T Henderson,68.75,0,0,6.25,4.0,11,16,T Henderson,2.0,5.5
570,T Kohli,55.0,0,0,5.0,5.0,11,20,T Kohli,3.0,3.67
571,T Natarajan,60.0,0,0,0.0,3.0,3,5,,0.0,3.0
572,T Shamsi,50.0,0,0,0.0,2.0,2,4,,0.0,2.0
573,T Stubbs,77.14,0,0,5.71,17.0,27,35,T Stubbs,4.0,6.75
574,T Taibu,119.23,0,0,11.54,14.0,31,26,T Taibu,3.0,10.33
575,T Thushara,63.16,0,0,0.0,9.0,12,19,T Thushara,2.0,6.0
576,TA Boult,104.55,0,0,9.09,31.0,69,66,TA Boult,6.0,11.5
577,TD Paine,34.48,0,0,0.0,10.0,10,29,TD Paine,2.0,5.0
578,TG Southee,111.11,0,0,11.11,49.0,120,108,TG Southee,13.0,9.23
579,TH David,167.87,0,0,22.09,117.0,418,249,TH David,15.0,27.87
580,TK Curran,117.59,1,0,12.04,58.0,127,108,TK Curran,5.0,25.4
581,TL Seifert,100.0,0,0,15.38,7.0,26,26,TL Seifert,3.0,8.67
582,TL Suman,115.16,2,0,13.8,251.0,676,587,TL Suman,32.0,21.12
583,TM Dilshan,110.12,9,0,15.66,391.0,1153,1047,TM Dilshan,43.0,26.81
584,TM Head,135.76,1,0,13.25,88.0,205,151,TM Head,7.0,29.29
585,TM Srivastava,72.73,0,0,0.0,6.0,8,11,TM Srivastava,1.0,8.0
586,TR Birt,127.12,0,0,18.64,21.0,75,59,TR Birt,5.0,15.0
587,TS Mills,57.14,0,0,7.14,2.0,8,14,TS Mills,4.0,2.0
588,TU Deshpande,161.54,0,0,23.08,6.0,21,13,TU Deshpande,1.0,21.0
589,Tilak Varma,137.29,3,0,17.44,252.0,740,539,Tilak Varma,19.0,38.95
590,U Kaul,0.0,0,0,0.0,0.0,0,1,,0.0,0.0
591,UA Birla,46.67,0,0,6.67,3.0,7,15,UA Birla,1.0,7.0
592,UBT Chand,95.54,1,0,13.06,103.0,300,314,UBT Chand,20.0,15.0
593,UT Khawaja,120.95,0,0,16.19,45.0,127,105,UT Khawaja,6.0,21.17
594,UT Yadav,100.0,0,0,12.24,74.0,196,196,UT Yadav,20.0,9.8
595,Umar Gul,205.26,0,0,31.58,5.0,39,19,Umar Gul,3.0,13.0
596,Umran Malik,143.75,0,0,18.75,5.0,23,16,Umran Malik,2.0,11.5
597,V Kohli,126.73,51,7,15.35,2826.0,7273,5739,V Kohli,195.0,37.3
598,V Pratap Singh,0.0,0,0,0.0,0.0,0,1,V Pratap Singh,1.0,0.0
599,V Sehwag,148.83,16,2,24.0,656.0,2728,1833,V Sehwag,99.0,27.56
600,V Shankar,126.63,6,0,14.23,413.0,1032,815,V Shankar,39.0,26.46
601,VG Arora,50.0,0,0,0.0,7.0,8,16,VG Arora,2.0,4.0
602,VH Zol,111.54,0,0,15.38,9.0,29,26,VH Zol,2.0,14.5
603,VR Aaron,68.49,0,0,5.48,26.0,50,73,VR Aaron,5.0,10.0
604,VR Iyer,125.46,7,1,16.8,318.0,956,762,VR Iyer,34.0,28.12
605,VRV Singh,133.33,0,0,33.33,0.0,4,3,VRV Singh,2.0,2.0
606,VS Malik,100.0,0,0,14.29,3.0,7,7,VS Malik,1.0,7.0
607,VS Yeligati,100.0,0,0,0.0,1.0,2,2,VS Yeligati,1.0,2.0
608,VVS Laxman,104.06,1,0,14.02,110.0,282,271,VVS Laxman,19.0,14.84
609,VY Mahesh,53.57,0,0,0.0,13.0,15,28,VY Mahesh,2.0,7.5
610,Vijaykumar Vyshak,130.0,0,0,10.0,6.0,13,10,Vijaykumar Vyshak,1.0,13.0
611,Virat Singh,57.69,0,0,3.85,11.0,15,26,Virat Singh,2.0,7.5
612,Vishnu Vinod,96.55,0,0,10.34,25.0,56,58,Vishnu Vinod,6.0,9.33
613,Vivrant Sharma,140.82,1,0,22.45,20.0,69,49,Vivrant Sharma,1.0,69.0
614,W Jaffer,100.78,1,0,13.18,48.0,130,129,W Jaffer,8.0,16.25
615,WA Mota,73.68,0,0,2.63,44.0,56,76,WA Mota,6.0,9.33
616,WD Parnell,75.58,0,0,5.81,38.0,65,86,WD Parnell,10.0,6.5
617,WP Saha,124.47,13,1,16.1,1007.0,2798,2248,WP Saha,112.0,24.98
618,WPUJC Vaas,110.96,0,0,6.85,44.0,81,73,WPUJC Vaas,8.0,10.12
619,Washington Sundar,111.18,0,0,12.06,165.0,378,340,Washington Sundar,27.0,14.0
620,X Thalaivan Sargunam,58.82,0,0,0.0,8.0,10,17,X Thalaivan Sargunam,1.0,10.0
621,Y Gnaneswara Rao,105.56,0,0,16.67,6.0,19,18,Y Gnaneswara Rao,1.0,19.0
622,Y Nagar,105.17,0,0,10.7,129.0,285,271,Y Nagar,14.0,20.36
623,Y Prithvi Raj,0.0,0,0,0.0,0.0,0,1,,0.0,0.0
624,Y Venugopal Rao,113.87,3,0,13.18,396.0,985,865,Y Venugopal Rao,44.0,22.39
625,YA Abdulla,0.0,0,0,0.0,0.0,0,1,,0.0,0.0
626,YBK Jaiswal,145.23,8,1,23.92,270.0,1172,807,YBK Jaiswal,36.0,32.56
627,YK Pathan,138.05,14,1,18.17,1038.0,3222,2334,YK Pathan,110.0,29.29
628,YS Chahal,41.57,0,0,0.0,32.0,37,89,YS Chahal,7.0,5.29
629,YV Dhull,69.57,0,0,4.35,12.0,16,23,YV Dhull,3.0,5.33
630,YV Takawale,104.92,0,0,15.85,54.0,192,183,YV Takawale,8.0,24.0
631,Yash Dayal,0.0,0,0,0.0,0.0,0,1,Yash Dayal,1.0,0.0
632,Yashpal Singh,70.15,0,0,7.46,23.0,47,67,Yashpal Singh,4.0,11.75
633,Younis Khan,42.86,0,0,0.0,3.0,3,7,Younis Khan,1.0,3.0
634,Yudhvir Singh,50.0,0,0,0.0,1.0,1,2,Yudhvir Singh,2.0,0.5
635,Yuvraj Singh,124.78,13,0,16.63,863.0,2754,2207,Yuvraj Singh,111.0,24.81
636,Z Khan,82.98,0,0,9.22,54.0,117,141,Z Khan,14.0,8.36
