striker,strike_rate,half_centuries,centuries,boundary_percentage,normal_runs
M Morkel,135.48,0,0,17.2,42.0
M Muralitharan,66.67,0,0,3.33,12.0
M Ntini,57.89,0,0,10.53,2.0
M Prasidh Krishna,37.5,0,0,0.0,9.0
M Rawat,78.57,0,0,7.14,31.0
M Shahrukh Khan,126.79,0,0,16.07,137.0
M Theekshana,100.0,0,0,14.29,1.0
M Vijay,118.61,13,2,15.31,883.0
M Vohra,125.49,3,0,17.03,323.0
M de Lange,50.0,0,0,0.0,1.0
MA Agarwal,128.83,13,1,17.51,866.0
MA Khote,109.09,0,0,13.64,9.0
MA Starc,97.96,0,0,10.2,47.0
MA Wood,120.0,0,0,20.0,2.0
MC Henriques,124.84,5,0,14.36,402.0
MC Juneja,93.28,0,0,8.96,68.0
MD Mishra,111.27,0,0,15.02,79.0
MD Shanaka,100.0,0,0,11.54,11.0
MDKJ Perera,107.69,0,0,23.08,2.0
MEK Hussey,119.96,15,1,15.17,755.0
MF Maharoof,142.74,0,0,16.94,59.0
MG Bracewell,118.37,0,0,14.29,25.0
MG Johnson,99.4,0,0,10.12,71.0
MJ Clarke,102.08,0,0,12.5,41.0
MJ Guptill,137.56,1,0,19.8,70.0
MJ Lumb,140.4,1,0,25.76,51.0
MJ McClenaghan,116.44,0,0,16.44,22.0
MJ Santner,94.92,0,0,10.17,22.0
MK Lomror,127.62,1,0,14.29,160.0
MK Pandey,117.27,22,1,13.58,1576.0
MK Tiwary,113.83,7,0,13.16,722.0
ML Hayden,131.94,8,0,19.67,307.0
MM Ali,138.98,5,0,19.76,292.0
MM Patel,95.12,0,0,12.2,18.0
MM Sharma,100.83,0,0,10.74,53.0
MN Samuels,92.53,0,0,9.2,72.0
MN van Wyk,123.7,1,0,14.81,71.0
MP Stoinis,135.1,7,0,17.0,507.0
MR Marsh,123.01,3,0,15.07,212.0
MS Bisla,108.28,4,0,15.74,246.0
MS Dhoni,131.49,24,0,15.21,1885.0
MS Gony,130.26,0,0,18.42,23.0
MS Wade,100.56,0,0,14.04,63.0
MV Boucher,123.9,1,0,14.15,157.0
MW Short,118.18,0,0,19.19,28.0
Mandeep Singh,120.31,6,0,15.09,649.0
Mashrafe Mortaza,100.0,0,0,0.0,1.0
Misbah-ul-Haq,142.68,0,0,19.51,35.0
Mohammad Ashraful,16.67,0,0,0.0,2.0
Mohammad Asif,50.0,0,0,0.0,3.0
Mohammad Hafeez,76.19,0,0,10.71,24.0
Mohammad Nabi,147.62,0,0,20.63,53.0
Mohammed Shami,90.24,0,0,9.76,33.0
Mohammed Siraj,85.84,0,0,10.62,40.0
Mohit Rathee,50.0,0,0,0.0,1.0
Mohsin Khan (2),88.46,0,0,11.54,8.0
Mujeeb Ur Rahman,80.0,0,0,13.33,4.0
Mukesh Choudhary,100.0,0,0,16.67,2.0
Mukesh Kumar,70.0,0,0,0.0,7.0
Mustafizur Rahman,56.52,0,0,4.35,7.0
N Jagadeesan,104.52,0,0,14.84,59.0
N Pooran,149.94,6,0,19.95,355.0
N Rana,131.01,18,0,18.18,800.0
N Saini,97.9,1,0,11.19,59.0
N Wadhera,140.94,2,0,20.47,69.0
NA Saini,86.84,0,0,7.89,18.0
ND Doshi,0.0,0,0,0.0,0.0
NJ Maddinson,95.24,0,0,19.05,2.0
NJ Rimmington,100.0,0,0,0.0,1.0
NL McCullum,113.04,0,0,4.35,14.0
NLTC Perera,130.06,0,0,15.03,148.0
NM Coulter-Nile,109.33,0,0,14.67,25.0
NS Naik,58.49,0,0,3.77,20.0
NT Ellis,73.08,0,0,3.85,11.0
NV Ojha,114.26,6,0,14.71,512.0
Naveen-ul-Haq,72.73,0,0,9.09,7.0
Niraj Patel,97.58,1,0,12.1,48.0
Noor Ahmad,88.89,0,0,11.11,4.0
OA Shah,124.94,4,0,14.07,199.0
OC McCoy,160.0,0,0,20.0,2.0
OF Smith,102.0,0,0,12.0,15.0
P Awana,35.71,0,0,0.0,5.0
P Chopra,133.33,0,0,33.33,0.0
P Dogra,90.07,0,0,6.38,69.0
P Dubey,69.7,0,0,6.06,14.0
P Kumar,105.26,0,0,12.07,126.0
P Negi,121.26,0,0,14.29,134.0
P Parameswaran,33.33,0,0,0.0,1.0
P Ray Barman,76.0,0,0,8.0,11.0
P Sahu,146.15,0,0,15.38,7.0
P Simran Singh,135.26,1,1,20.83,100.0
PA Patel,116.63,13,0,16.95,947.0
PA Reddy,98.2,0,0,10.18,78.0
PBB Rajapaksa,137.81,1,0,18.41,84.0
PC Valthaty,116.9,2,1,18.75,121.0
PD Collingwood,127.67,3,0,13.84,77.0
PD Salt,161.48,2,0,25.19,55.0
PJ Cummins,145.77,3,0,19.23,100.0
PJ Sangwan,55.32,0,0,2.13,19.0
PK Garg,110.53,1,0,10.12,128.0
PM Sarvesh Kumar,50.0,0,0,0.0,1.0
PN Mankad,129.33,1,0,20.0,28.0
PP Chawla,107.79,0,0,13.1,236.0
PP Ojha,35.56,0,0,0.0,15.0
PP Shaw,141.64,13,0,22.07,457.0
PR Shah,94.85,0,0,11.34,36.0
PSP Handscomb,50.0,0,0,0.0,6.0
PV Tambe,46.15,0,0,2.56,14.0
PVD Chameera,134.38,0,0,18.75,10.0
PWH de Silva,90.0,0,0,10.0,32.0
Pankaj Singh,58.33,0,0,0.0,6.0
Parvez Rasool,85.0,0,0,5.0,12.0
Q de Kock,131.32,20,2,18.1,934.0
R Ashwin,114.79,1,0,12.86,304.0
R Bhatia,117.93,0,0,12.76,143.0
R Bishnoi,111.76,0,0,17.65,3.0
R Dhawan,111.7,0,0,13.3,78.0
R Dravid,113.35,11,0,15.48,802.0
R McLaren,89.33,1,0,8.43,87.0
R Ninan,50.0,0,0,0.0,3.0
R Parag,119.52,2,0,14.14,232.0
R Powell,140.44,1,0,18.03,72.0
R Rampaul,98.08,0,0,9.62,21.0
R Sanjay Yadav,0.0,0,0,0.0,0.0
R Sathish,114.41,0,0,11.86,116.0
R Sharma,85.71,0,0,10.39,21.0
R Shepherd,131.82,0,0,15.91,15.0
R Shukla,82.61,0,0,8.7,11.0
R Tewatia,127.12,1,0,15.72,293.0
R Vinay Kumar,107.27,0,0,10.38,141.0
RA Bawa,78.57,0,0,7.14,6.0
RA Jadeja,123.09,2,0,13.35,1122.0
RA Tripathi,135.45,11,0,18.51,671.0
RD Chahar,96.43,0,0,12.5,36.0
RD Gaikwad,132.52,14,1,17.11,626.0
RE Levi,112.16,1,0,18.92,19.0
RE van der Merwe,110.42,0,0,13.19,59.0
RG More,100.0,0,0,0.0,2.0
RG Sharma,127.06,42,1,16.61,2178.0
RJ Harris,104.46,0,0,8.04,57.0
RJ Peterson,100.0,0,0,12.5,13.0
RJ Quiney,98.1,1,0,14.29,33.0
RK Bhui,38.89,0,0,0.0,5.0
RK Singh,135.01,4,0,17.13,248.0
RM Patidar,136.03,2,1,17.17,139.0
RN ten Doeschate,136.97,1,0,17.23,117.0
RP Meredith,0.0,0,0,0.0,0.0
RP Singh,66.67,0,0,3.85,34.0
RR Bhatkal,0.0,0,0,0.0,0.0
RR Pant,142.55,15,1,19.55,896.0
RR Powar,104.69,0,0,10.94,30.0
RR Raje,111.11,0,0,11.11,10.0
RR Rossouw,131.66,1,0,17.09,82.0
RR Sarwan,93.59,0,0,8.97,37.0
RS Bopara,113.46,3,0,11.75,238.0
RS Gavaskar,25.0,0,0,0.0,2.0
RS Sodhi,200.0,0,0,50.0,0.0
RT Ponting,70.54,0,0,5.43,53.0
RV Gomez,94.34,0,0,11.32,20.0
RV Patel,105.26,0,0,10.53,39.0
RV Uthappa,126.15,27,0,16.88,1666.0
Rahmanullah Gurbaz,127.53,2,0,17.98,57.0
Ramandeep Singh,107.14,0,0,9.52,21.0
Rashid Khan,158.21,1,0,22.5,97.0
Rasikh Salam,120.0,0,0,10.0,4.0
Ravi Bishnoi,60.87,0,0,4.35,16.0
S Anirudha,112.4,1,0,13.22,51.0
S Aravind,100.0,0,0,11.86,26.0
S Badree,52.0,0,0,0.0,11.0
S Badrinath,115.74,11,0,14.62,570.0
S Chanderpaul,75.76,0,0,12.12,9.0
S Dhawan,123.5,50,2,16.78,2377.0
S Dube,135.21,6,0,16.01,383.0
S Gopal,104.05,0,0,12.14,81.0
S Kaul,55.56,0,0,2.78,12.0
S Kaushik,0.0,0,0,0.0,0.0
S Ladda,0.0,0,0,0.0,0.0
S Lamichhane,0.0,0,0,0.0,0.0
S Nadeem,44.32,0,0,2.27,28.0
S Narwal,127.59,0,0,20.69,11.0
S Rana,110.98,0,0,12.2,39.0
S Randiv,50.0,0,0,0.0,1.0
S Sohal,118.33,2,0,16.72,101.0
S Sreesanth,59.65,0,0,10.53,8.0
S Sriram,81.58,0,0,7.89,17.0
S Tyagi,75.0,0,0,0.0,3.0
S Vidyut,126.09,1,0,20.87,36.0
SA Abbott,122.22,0,0,16.67,5.0
SA Asnodkar,120.17,2,0,18.75,122.0
SA Yadav,140.47,21,1,19.93,1032.0
SB Bangar,84.48,0,0,6.9,26.0
SB Jakati,93.33,0,0,10.0,15.0
SB Joshi,37.5,0,0,0.0,6.0
SB Styris,97.76,0,0,9.7,68.0
SB Wagh,66.67,0,0,0.0,1.0
SC Ganguly,101.73,7,0,13.5,485.0
SD Chitnis,107.61,0,0,13.04,42.0
SD Lad,115.38,0,0,15.38,3.0
SE Bond,50.0,0,0,0.0,1.0
SE Marsh,130.11,20,1,18.14,830.0
SE Rutherford,99.07,0,0,10.28,42.0
SJ Srivastava,100.0,0,0,0.0,4.0
SK Raina,132.54,39,1,17.0,1991.0
SK Trivedi,68.85,0,0,6.56,20.0
SK Warne,90.41,0,0,9.13,94.0
SL Malinga,85.44,0,0,10.68,33.0
SM Curran,138.37,3,0,18.28,192.0
SM Harwood,64.29,0,0,0.0,7.0
SM Katich,126.18,2,0,17.8,72.0
SM Pollock,126.72,0,0,17.24,49.0
SMSM Senanayake,58.82,0,0,0.0,9.0
SN Khan,128.29,1,0,16.89,218.0
SN Thakur,136.19,1,0,17.62,97.0
SO Hetmyer,144.5,4,0,18.16,349.0
SP Fleming,114.62,0,0,17.54,55.0
SP Goswami,95.44,1,0,11.4,128.0
SP Jackson,107.02,0,0,10.53,31.0
SP Narine,151.16,4,0,25.72,175.0
SPD Smith,124.81,11,1,14.31,1053.0
SR Tendulkar,114.19,13,1,15.9,845.0
SR Watson,134.16,21,4,19.61,1077.0
SS Cottrell,0.0,0,0,0.0,0.0
SS Iyer,121.13,19,0,14.68,1085.0
SS Prabhudessai,108.51,0,0,12.77,35.0
SS Shaikh,85.71,0,0,14.29,2.0
SS Tiwary,115.72,8,0,12.47,651.0
ST Jayasuriya,134.03,4,1,21.47,158.0
STR Binny,125.71,0,0,14.43,331.0
SV Samson,133.93,20,3,16.74,1353.0
SW Billings,126.07,3,0,15.04,187.0
SW Tait,88.46,0,0,7.69,13.0
Sachin Baby,117.07,0,0,13.01,57.0
Salman Butt,112.21,1,0,18.6,54.0
Sandeep Sharma,73.97,0,0,5.48,36.0
Sanvir Singh,122.22,0,0,22.22,1.0
Shahbaz Ahmed,109.18,0,0,11.22,138.0
Shahid Afridi,176.09,0,0,28.26,13.0
Shakib Al Hasan,119.55,2,0,14.14,332.0
Shashank Singh,146.81,0,0,19.15,20.0
Shivam Mavi,87.93,0,0,10.34,20.0
Shivam Sharma,166.67,0,0,33.33,1.0
Shoaib Ahmed,16.67,0,0,0.0,1.0
Shoaib Akhtar,25.0,0,0,0.0,2.0
Shoaib Malik,106.12,0,0,10.2,28.0
Shubman Gill,130.56,18,3,16.52,1052.0
Sikandar Raza,133.65,1,0,15.38,46.0
Simarjeet Singh,87.5,0,0,0.0,5.0
Sohail Tanvir,116.13,0,0,12.9,16.0
Sunny Gupta,0.0,0,0,0.0,0.0
Sunny Singh,138.71,0,0,22.58,12.0
Swapnil Singh,58.33,0,0,0.0,12.0
T Banton,81.82,0,0,9.09,7.0
T Henderson,68.75,0,0,6.25,4.0
T Kohli,55.0,0,0,5.0,5.0
T Natarajan,60.0,0,0,0.0,3.0
T Shamsi,50.0,0,0,0.0,2.0
T Stubbs,77.14,0,0,5.71,17.0
T Taibu,119.23,0,0,11.54,14.0
T Thushara,63.16,0,0,0.0,9.0
TA Boult,104.55,0,0,9.09,31.0
TD Paine,34.48,0,0,0.0,10.0
TG Southee,111.11,0,0,11.11,49.0
TH David,167.87,0,0,22.09,117.0
TK Curran,117.59,1,0,12.04,58.0
TL Seifert,100.0,0,0,15.38,7.0
TL Suman,115.16,2,0,13.8,251.0
TM Dilshan,110.12,9,0,15.66,391.0
TM Head,135.76,1,0,13.25,88.0
TM Srivastava,72.73,0,0,0.0,6.0
TR Birt,127.12,0,0,18.64,21.0
TS Mills,57.14,0,0,7.14,2.0
TU Deshpande,161.54,0,0,23.08,6.0
Tilak Varma,137.29,3,0,17.44,252.0
U Kaul,0.0,0,0,0.0,0.0
UA Birla,46.67,0,0,6.67,3.0
UBT Chand,95.54,1,0,13.06,103.0
UT Khawaja,120.95,0,0,16.19,45.0
UT Yadav,100.0,0,0,12.24,74.0
Umar Gul,205.26,0,0,31.58,5.0
Umran Malik,143.75,0,0,18.75,5.0
V Kohli,126.73,51,7,15.35,2826.0
V Pratap Singh,0.0,0,0,0.0,0.0
V Sehwag,148.83,16,2,24.0,656.0
V Shankar,126.63,6,0,14.23,413.0
VG Arora,50.0,0,0,0.0,7.0
VH Zol,111.54,0,0,15.38,9.0
VR Aaron,68.49,0,0,5.48,26.0
VR Iyer,125.46,7,1,16.8,318.0
VRV Singh,133.33,0,0,33.33,0.0
VS Malik,100.0,0,0,14.29,3.0
VS Yeligati,100.0,0,0,0.0,1.0
VVS Laxman,104.06,1,0,14.02,110.0
VY Mahesh,53.57,0,0,0.0,13.0
Vijaykumar Vyshak,130.0,0,0,10.0,6.0
Virat Singh,57.69,0,0,3.85,11.0
Vishnu Vinod,96.55,0,0,10.34,25.0
Vivrant Sharma,140.82,1,0,22.45,20.0
W Jaffer,100.78,1,0,13.18,48.0
WA Mota,73.68,0,0,2.63,44.0
WD Parnell,75.58,0,0,5.81,38.0
WP Saha,124.47,13,1,16.1,1007.0
WPUJC Vaas,110.96,0,0,6.85,44.0
Washington Sundar,111.18,0,0,12.06,165.0
X Thalaivan Sargunam,58.82,0,0,0.0,8.0
Y Gnaneswara Rao,105.56,0,0,16.67,6.0
Y Nagar,105.17,0,0,10.7,129.0
Y Prithvi Raj,0.0,0,0,0.0,0.0
Y Venugopal Rao,113.87,3,0,13.18,396.0
YA Abdulla,0.0,0,0,0.0,0.0
YBK Jaiswal,145.23,8,1,23.92,270.0
YK Pathan,138.05,14,1,18.17,1038.0
YS Chahal,41.57,0,0,0.0,32.0
YV Dhull,69.57,0,0,4.35,12.0
YV Takawale,104.92,0,0,15.85,54.0
Yash Dayal,0.0,0,0,0.0,0.0
Yashpal Singh,70.15,0,0,7.46,23.0
Younis Khan,42.86,0,0,0.0,3.0
Yudhvir Singh,50.0,0,0,0.0,1.0
Yuvraj Singh,124.78,13,0,16.63,863.0
Z Khan,82.98,0,0,9.22,54.0
